No.,G_N2,G_CO2,G_H2S,G_C1,G_C2,G_C3,G_C4,G_C5,G_C6,G_C7+,TR (℃),O_N2,O_CO2,O_C1,O_C2,O_C3,O_C4,O_C5,O_C6,O_C7+,MWC7+ (g/mol),EM,MMP (MPa),
79,0.27,6.39,10,43.173,23.391,9.99,4.5,1.8,0.45,0.036,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,23.2,
80,0.27,6.39,10,43.173,23.391,9.99,4.5,1.8,0.45,0.036,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,24.24,
81,0.3,6.4825,0,54.375,24.0075,9.0575,3.9275,1.4825,0.34,0.0275,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,26.48,
82,0.3,6.4825,0,54.375,24.0075,9.0575,3.9275,1.4825,0.34,0.0275,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,28.03,
83,0.3,6.4825,0,54.375,24.0075,9.0575,3.9275,1.4825,0.34,0.0275,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,22.68,
84,0.3,6.4825,0,54.375,24.0075,9.0575,3.9275,1.4825,0.34,0.0275,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,24.79,
85,0.31,6.97,0,48.51,26.03,10.46,5.24,1.96,0.52,0,103.3,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,26.21,
86,0.3,7.1,0,47.97,25.99,11.1,5,2,0.5,0.04,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,21.13,
87,0.3,7.1,0,47.97,25.99,11.1,5,2,0.5,0.04,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,24.06,
88,0.3,7.1,0,47.97,25.99,11.1,5,2,0.5,0.04,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,22.17,
89,0.3,7.1,0,47.97,25.99,11.1,5,2,0.5,0.04,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,23.97,
90,0.27,7.573,0,43.173,27.534,12.653,5.831,2.333,0.586,0.047,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,20.02,
91,0.27,7.573,0,43.173,27.534,12.653,5.831,2.333,0.586,0.047,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,23.03,
92,0.27,7.573,0,43.173,27.534,12.653,5.831,2.333,0.586,0.047,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,21.65,
93,0.27,7.573,0,43.173,27.534,12.653,5.831,2.333,0.586,0.047,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,23.46,
94,66.75,8.25,0,0,6,16.25,2.75,0,0,0,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,34.58,
95,66.75,8.25,0,0,6,16.25,2.75,0,0,0,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,35.61,
96,0.225,8.2825,0,35.9775,29.85,14.9825,7.0775,2.8325,0.715,0.0575,82.2,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,17,
97,0.225,8.2825,0,35.9775,29.85,14.9825,7.0775,2.8325,0.715,0.0575,115.6,0.39,1.41,6.35,7.43,7.13,4.62,4.24,2.67,65.76,281,1,22.57,
98,0.225,8.2825,0,35.9775,29.85,14.9825,7.0775,2.8325,0.715,0.0575,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,19.99,
99,0.225,8.2825,0,35.9775,29.85,14.9825,7.0775,2.8325,0.715,0.0575,115.6,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,22.51,
100,80.1,11.083,0,0,4.143,2.663,1.331,0.533,0.136,0.011,82.2,0.01,6.66,32.98,23.16,8.39,4.23,3.1,1.88,19.59,216,1,40.44,
